Departamento,divisivo
AREQUIPA,discriminacion baja
CALLAO,discriminacion baja
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion baja
LIMA,discriminacion baja
TUMBES,discriminacion baja
AREQUIPA,discriminacion baja
CALLAO,discriminacion baja
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion baja
LIMA,discriminacion baja
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion alta
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion alta
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion alta
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion alta
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion alta
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion alta
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion baja
AREQUIPA,discriminacion alta
CALLAO,discriminacion baja
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion alta
LIMA,discriminacion alta
TUMBES,discriminacion alta
AREQUIPA,discriminacion baja
CALLAO,discriminacion baja
CUSCO,discriminacion baja
LA LIBERTAD,discriminacion baja
LIMA,discriminacion baja
TUMBES,discriminacion baja
AREQUIPA,discriminacion baja
CALLAO,discriminacion baja
CUSCO,discriminacion baja
LIMA,discriminacion baja
TUMBES,discriminacion baja
AREQUIPA,discriminacion baja
LA LIBERTAD,discriminacion baja
LIMA,discriminacion baja
LIMA,discriminacion baja
LIMA,discriminacion baja
